Origin,Destination,movement
1137,1169,3
1157,1170,1
227,1170,3
1120,1175,6
1181,1184,3
1150,1184,3
1150,1186,3
1109,1186,1
1207,1204,4
2405,2312,4
1207,1229,1
1300,1229,5
1283,1230,2
1201,1230,2
2347,2311,4
2408,1240,3
1201,1240,1
1201,1241,2
2375,1241,4
1212,1242,3
2383,1242,3
1218,1243,4
2383,1243,1
2601,1243,3
2268,2302,4
2610,1245,3
2601,1245,1
2231,2292,6
1267,1259,5
1248,1259,1
2104,2281,2
1248,1285,6
1248,1287,1
1211,1287,2
2621,1290,4
1235,1295,7
1226,1295,1
1018,1299,6
1358,1315,4
3535,3537,4
552,3537,2
2102,2139,4
701,1139,1
764,1139,2
1120,1132,1
227,1132,2
1124,1132,1
1199,1130,2
2360,2368,4
2364,2363,3
2362,2363,3
2359,2358,3
2294,2358,1
1146,739,5
1199,739,1
2405,2354,2
846,811,8
840,841,4
805,841,2
967,925,3
2403,2343,4
924,953,4
1029,1001,4
1047,1001,2
2294,2339,4
1328,1376,2
1004,1014,5
1034,1014,1
1018,1020,2
1047,1020,4
1017,1026,5
1017,1027,5
1034,1027,3
2360,2334,1
2320,2334,5
1021,1053,3
1021,1056,4
3528,1059,1
1226,1059,4
2621,1059,1
1034,1060,2
2621,1060,1
552,1061,3
1021,1061,1
1105,1102,4
1126,1127,2
1145,1127,2
1145,1129,1
1124,1129,1
1456,1016,3
1453,1016,1
2255,2274,4
1412,1411,4
1410,1414,4
1726,1723,1
1708,1723,2
1537,1723,1
1729,1728,4
1630,1728,2
1822,1821,4
2102,2175,4
1960,1910,2
2067,2173,4
1975,1958,3
285,1958,1
1835,1976,3
1834,1976,1
1908,1979,3
1834,1979,1
1960,1984,3
289,1984,1
1834,1996,4
1937,1996,4
2054,2020,4
2027,2184,4
2027,2024,1
2058,2024,3
2032,2041,4
2032,2048,2
2036,2048,2
2067,2056,2
234,2056,2
2050,2057,3
2058,2057,1
2026,2061,4
2033,2062,4
2220,2064,4
2033,2068,1
2036,2068,3
2036,2071,3
2229,2071,1
2229,2160,2
2265,2160,3
2289,2160,1
2289,2129,4
251,2137,4
2509,2038,4
711,714,4
1656,1692,4
1656,1686,1
1720,1686,3
643,1426,5
602,1426,1
627,1434,4
1447,1434,2
602,1444,3
626,1444,1
1538,1522,2
1539,1522,2
1545,1527,4
1545,1528,1
1348,1528,3
1519,1530,3
1539,1530,1
1533,1532,3
1605,1532,1
1339,1541,4
1348,1542,4
1539,1543,1
1360,1543,3
1327,1548,5
1325,1548,1
1720,1688,3
1628,1625,4
1630,1625,1
1720,1625,1
1702,1625,2
2213,2211,4
1617,1659,4
1617,1664,4
1617,1665,3
1605,1665,1
1702,1666,2
1605,1666,1
1608,1666,1
2207,2206,3
2288,2206,3
2270,2206,2
1608,1670,3
1450,1670,3
1537,1674,3
1450,1674,2
1332,1674,1
1441,1679,6
1428,1681,3
1332,1681,1
1332,1682,1
1408,1682,3
1454,1682,1
1454,1685,3
1454,1635,2
1430,1635,2
638,639,5
1836,2141,3
1856,2141,1
2393,2392,4
2258,2392,2
515,2609,3
2618,2609,1
2403,2387,3
2342,2387,1
2618,2614,5
1220,2614,1
2381,2410,3
2328,2410,1
3531,580,2
289,281,3
3531,524,4
256,278,3
255,278,1
589,578,2
560,578,1
571,3507,8
591,3507,3
584,3507,4
2063,271,4
2063,219,1
207,219,3
2328,2407,3
2332,2407,1
222,221,4
593,505,2
3533,505,2
560,563,2
584,563,2
3533,551,3
584,551,1
240,266,3
230,266,1
230,238,2
268,238,2
274,242,4
235,242,2
1220,2616,4
2352,2385,4
331,332,2
255,254,2
234,254,1
235,254,1
638,623,3
622,623,5
3530,3527,3
102,105,2
119,111,4
136,137,4
154,432,4
430,381,3
382,381,1
301,461,4
2342,2603,4
3100,159,1
140,159,1
2337,2384,4
2337,2412,3
1220,2412,1
1249,2412,2
1249,2606,4
622,608,3
621,608,1
140,436,4
1319,1546,3
1306,1343,3
647,1623,3
607,1623,3
1206,1227,3
2244,2241,3
607,1616,3
147,439,3
199,419,6
1360,1540,2
1375,1540,1
1325,1534,2
1377,1534,4
2244,2242,2
2294,2242,3
2255,2242,1
1206,1280,3
2317,1280,3
260,287,3
458,385,3
2213,2239,3
1405,1455,3
1430,1431,3
3505,1291,3
2317,1296,1
3505,1296,2
1302,1364,2
1361,1364,1
1447,1457,3
428,336,3
235,253,1
1856,253,2
1973,1953,3
1993,1953,3
1904,1956,3
1937,1966,1
1933,1966,2
760,1967,3
1842,2172,6
417,194,3
165,164,3
222,2003,1
2007,2003,2
2007,2009,3
2289,2165,1
2509,2165,2
2007,2015,2
207,2015,1
134,138,3
3518,3517,3
822,2040,3
134,128,1
135,128,4
124,128,1
540,3521,2
584,3521,1
118,112,3
264,1946,3
1377,1657,2
1375,1657,4
1841,1916,3
1853,1843,3
207,252,3
264,236,3
231,233,3
1822,2185,1
1819,2185,2
232,228,3
207,220,8
260,220,1
1375,1690,3
1375,1714,2
1328,1714,1
830,215,3
584,3508,3
1841,2180,1
1833,2180,2
1353,1742,3
1824,1805,3
1833,1806,3
1819,1820,1
1826,1820,2
626,3509,3
646,3509,3
1824,2174,3
1826,1858,3
2319,2315,3
1373,1366,3
764,1136,3
2320,2335,1
2258,2335,2
764,747,3
2332,2349,3
646,539,3
2269,2503,3
967,919,1
900,919,2
927,922,3
764,1135,2
731,1135,1
1453,1037,1
1402,1037,2
1124,1148,3
1402,1033,1
1405,1033,1
1430,1033,1
1114,1163,3
526,575,3
1430,1032,3
526,1032,3
2405,1010,1
561,1010,4
617,1010,1
650,600,3
711,737,3
1155,742,3
711,736,1
760,736,1
734,736,1
2282,2506,3
3513,520,3
1153,1125,3
1155,1115,1
1153,1115,2
2352,2326,2
2365,2326,1
1193,1182,6
583,537,3
3511,569,3
1114,1106,1
1108,1106,2
1200,1178,3
2258,2325,3
2255,2373,6
1193,713,3
734,713,2
1969,713,1
2301,2361,3
2701,1191,2
1195,1174,2
1328,1501,1
1320,1501,1
583,3522,2
2213,2227,4
1195,1131,2
617,1031,4
2307,546,2
2269,2210,3
2259,2210,1
2701,1188,2
2255,2389,2
2256,2389,2
1824,2136,1
822,2136,1
2282,2130,1
2213,2130,1
844,2130,2
844,2109,1
800,2109,3
264,2164,2
107,114,2
116,114,2
141,115,4
756,704,4
756,706,1
1933,706,2
731,706,1
1941,1998,2
958,913,3
907,913,1
583,579,1
642,579,1
1320,1741,3
1344,1741,1
2256,2340,3
2251,2340,1
661,1717,4
964,961,2
1344,1705,2
617,574,6
621,574,2
642,574,3
2307,3504,2
1344,1727,2
1321,1727,2
657,648,3
624,648,1
1195,1167,1
1109,1167,1
1200,1167,1
731,1167,1
2259,2271,2
2365,2322,4
2286,2607,3
2270,2607,1
1336,1314,2
2365,2608,2
2307,2608,1
3511,2608,1
406,405,2
2270,1256,1
2257,1256,1
2257,1247,2
2251,1247,2
2251,2605,2
2504,2605,2
650,1403,3
636,1403,1
154,438,2
421,438,2
2301,1215,2
2504,1215,1
624,1215,1
1308,1372,4
3525,1277,2
807,379,1
624,2611,1
800,2169,1
624,1039,1
3525,514,1
260,204,2
185,204,1
2259,1203,2
2262,1203,3
830,223,1
800,223,3
147,223,1
1321,1512,5
659,614,4
615,614,1
624,1208,1
3525,1208,2
536,1208,2
825,2037,5
195,110,4
179,110,1
406,1159,5
536,509,2
533,509,3
731,700,3
152,700,2
329,454,3
825,2108,1
264,2108,1
805,2108,2
834,2108,1
2262,2247,3
839,2247,3
1999,1992,4
1941,1859,2
1999,1859,2
533,1268,1
3531,1268,2
3513,3514,1
568,3514,1
834,836,3
232,749,2
1999,1848,2
232,1955,2
636,663,2
1969,763,2
3530,587,2
232,1852,1
1999,1852,1
181,1965,3
185,203,3
429,2350,2
185,1911,2
3530,1266,2
640,651,2
834,2148,2
3530,510,2
413,1173,3
181,719,2
124,130,2
834,2111,2
152,729,2
119,2012,1
120,2012,1
152,732,2
148,2112,2
143,2112,1
660,654,2
519,1263,2
660,3510,2
519,1258,2
152,1183,1
420,1183,1
519,1262,2
118,109,1
102,109,1
151,743,2
116,196,1
183,196,1
151,1974,2
151,746,1
186,746,1
451,450,4
429,2508,2
636,1451,1
609,1451,1
550,1278,2
838,2237,2
818,2237,2
373,2329,2
373,2395,1
382,2395,1
609,1406,2
519,2404,1
375,2404,1
609,1620,2
375,2406,1
347,2406,1
120,270,1
122,270,1
609,1547,3
401,1101,2
102,275,2
122,276,2
186,1141,2
818,2273,2
660,1427,2
102,279,3
420,1128,2
818,2409,4
1336,1525,2
303,308,1
309,308,3
1336,1520,1
1361,1520,1
1361,1513,4
818,2272,1
820,2272,1
820,2248,2
102,293,3
609,1446,2
353,314,2
820,2221,1
143,2221,1
807,2221,1
550,2617,3
335,334,2
122,1812,2
437,2176,3
401,1168,2
518,2341,2
901,939,3
437,2178,2
126,2178,1
417,948,2
449,1731,3
550,1286,2
401,1166,1
412,1166,1
923,952,2
954,959,2
449,1715,1
1370,1715,3
609,1709,1
1305,1709,2
347,374,2
550,1297,1
518,1297,1
1305,1303,2
518,3506,2
1308,1680,2
1308,1322,2
1308,1334,2
1355,1349,2
807,2276,3
1355,1667,2
1361,1357,2
1370,1357,2
615,628,3
518,1041,2
124,1828,2
518,1042,2
184,103,2
518,585,1
124,2135,1
1355,1669,1
826,2264,1
612,530,1
615,1458,1
123,117,4
1355,1651,3
184,262,1
615,1646,2
1338,1646,1
458,316,1
347,2245,3
347,2263,2
826,2263,1
452,455,1
451,351,1
310,368,1
428,398,1
363,1351,1
400,1165,3
612,2316,3
1355,1503,1
826,2510,1
612,1239,3
568,535,2
964,926,1
124,226,2
126,226,1
126,2105,1
612,616,1
605,616,1
1363,616,1
568,543,3
184,708,2
1355,1733,1
126,212,3
140,212,2
141,206,4
140,206,1
387,2396,2
186,1140,2
949,951,2
186,723,2
400,1196,2
186,766,2
412,1112,2
363,1050,2
361,529,2
346,2401,2
361,1030,2
1338,1436,2
1355,1662,1
1338,1662,1
361,1271,2
186,1986,2
1342,1529,2
186,1977,2
826,2214,2
140,127,1
3104,127,1
1338,1678,1
1362,1678,1
1363,1655,2
346,1205,2
826,2171,1
186,291,1
346,521,1
387,3538,1
1363,501,2
364,501,1
452,501,2
1362,501,3
343,501,3
3104,2013,6
160,2013,5
183,225,4
826,225,3
155,225,2
155,218,4
179,218,3
412,2702,2
411,2702,4
414,2702,1
356,572,4
342,572,3
972,408,7
389,2348,5
453,2348,2
1342,1650,2
388,1650,5
453,2370,4
397,2370,2
338,2370,1
186,1840,1
420,1840,6
420,1839,7
420,1808,4
421,1808,1
199,1808,2
338,2331,6
331,2331,1
342,588,3
359,588,2
335,588,2
340,1003,4
358,1003,3
331,2212,1
312,2212,3
391,2212,3
327,564,4
310,564,1
358,2620,1
315,2620,3
310,2620,1
465,1654,2
464,1654,3
199,2801,8
179,2801,2
391,2205,1
171,2205,4
464,1722,1
353,1722,2
969,1722,2
170,201,3
165,201,2
458,3524,5
458,3532,2
305,3532,3
305,3502,3
309,3502,2
969,1634,1
942,1634,3
945,1634,1
424,265,5
302,322,4
171,322,1
301,1449,2
349,1449,3
395,1420,2
173,1420,3
348,1401,3
367,1401,2
367,1246,2
3103,1246,4
123,1246,4
123,2333,1
176,2333,4
176,2380,1
167,2380,4
167,512,2
900,512,3
424,716,3
417,716,2
417,2144,2
177,2144,3
178,2243,4
915,2243,1
414,724,1
972,724,1
915,724,3
912,816,5
914,726,5
912,104,1
914,104,2
956,104,1
956,2167,1
907,2167,2
945,1736,2
903,1736,1
907,209,1
900,209,2
900,513,3
964,513,1
964,1015,1
923,1015,3
950,3105,2
927,3105,1
971,2145,3
971,523,3
906,131,5
927,131,2
