대여소번호,대여소명
No.101,101. (구)합정동 주민센터
No.102,102. 망원역 1번출구 앞
No.103,103. 망원역 2번출구 앞
No.104,104. 합정역 1번출구 앞
No.105,105. 합정역 5번출구 앞
No.106,106. 합정역 7번출구 앞
No.107,107. 신한은행 서교동금융센터점 앞
No.108,108. 서교동 사거리
No.109,109. 제일빌딩 앞
No.110,110. 사천교
No.111,111. 상수역 2번출구 앞
No.112,112. 극동방송국 앞
No.113,113. 홍대입구역 2번출구 앞
No.114,114. 홍대입구역 8번출구 앞
No.115,115. 사루비아 빌딩 앞
No.116,116. 일진아이윌아파트 옆
No.117,117. 홍은사거리
No.118,118. 광흥창역 2번출구 앞
No.119,119. 서강나루 공원
No.120,120. 신수동 사거리
No.121,121. 마포소방서 앞
No.122,122. 신성기사식당 앞
No.123,123. 문화촌 공원
No.124,124. 서강대 정문 건너편
No.125,125. 서강대 남문 옆
No.126,126. 서강대 후문 옆
No.127,127. 현대벤처빌 앞
No.128,128. 신촌역(2호선) 1번출구 옆
No.129,129. 신촌역(2호선) 6번출구 옆
No.130,130. 신촌역(2호선) 7번출구 앞
No.131,131. 증산2교
No.132,132. 창천문화공원
No.133,133. 해담는다리
No.134,134. 연세로 명물길
No.135,명물길 원형무대 앞
No.136,136. 대흥동 주민센터
No.137,137. NH농협 신촌지점 앞
No.138,138. 신촌동 제1공영주차장 앞
No.139,139. 연세대 정문 건너편
No.140,140. 이화여대 후문
No.141,141. 연대 대운동장 옆
No.142,142. 아현역 4번출구 앞
No.143,143. 공덕역 2번출구
No.144,144. 공덕역 8번출구
No.145,145. 공덕역 5번출구
No.146,146. 마포역 1번출구 뒤
No.147,147. 마포역 4번출구 뒤
No.148,148. 용강동 주민센터 앞
No.150,150. 서강대역 2번출구 앞
No.151,151. 망원1동주민센터
No.152,152. 마포구민체육센터 앞
No.153,153. 성산2교 사거리
No.154,154. 마포구청역
No.155,155. 가좌역1 번출구 뒤
No.156,156. 서울서부지방법원 앞
No.157,157. 애오개역 4번출구 앞
No.158,158. 독립문 어린이 공원
No.159,159. 이대역 4번 출구
No.160,160. 북아현동 가구거리
No.161,161. 무악재역1번 출구
No.162,162. 봉원고가차도 밑
No.163,163. 명지전문대학교 정문 앞
No.164,164. 북가좌1동 주민센터 
No.165,165. 중앙근린공원
No.166,166. 가재울 초등학교
No.167,167. 연가초등학교 옆
No.168,168. 남가좌동 사거리
No.169,169. 북가좌 삼거리
No.170,170. 가재울 뉴타운 주유소 옆
No.171,임광빌딩 앞
No.172,172. 서대문소방서
No.173,173. 서대문역 8번출구 앞
No.174,174. 명지대학교 학생회관
No.175,175. 홍연2교옆
No.176,176. 명지대학교 도서관
No.177,177. 북가좌 초등학교
No.178,178. 증산3교 앞
No.179,179. 가좌역 4번출구 앞
No.180,180. 충정로역 7번출구 뒤
No.181,181. 망원초록길 입구
No.182,182. 망원2빗물펌프장 앞
No.183,183. 하늘채코오롱아파트 건너편
No.184,184. SK망원동주유소 건너편
No.185,185. 마포 신수공원 앞
No.186,186. 월드컵공원
No.188,188. 홍은동 정원여중 입구
No.191,191. 정명학원
No.192,192. 연서어린이공원
No.194,194. 증산교 앞
No.195,195. 모래내고가차도 
No.196,196. 연희교차로 인근
No.198,198. 충정2교
No.199,199. 서울 월드컵 경기장
No.200,200. 국회의원회관
No.201,201. 진미파라곤 앞
No.202,202. 국민일보 앞
No.203,203. 국회의사당역 3번출구 옆
No.204,204. 국회의사당역 5번출구 옆
No.205,205. 산업은행 앞
No.206,206. KBS 앞
No.207,207. 여의나루역 1번출구 앞
No.209,209. 유진투자증권빌딩 앞
No.210,210. IFC몰
No.211,211. 여의도역 4번출구 옆
No.212,212. 여의도역 1번출구 옆
No.213,213. KT앞
No.214,214. 금융감독원 앞
No.215,215. 여의도고교 앞
No.216,216. 삼부아파트1동 앞
No.217,217. NH농협은행 앞
No.218,218. 증권거래소 앞
