Station,Path ID,Origin-Destination,movement,Latitude,Longitude
No.1137,No.1137_No.1169,Origin,3,37.541431,126.86322
No.1169,No.1137_No.1169,Destination,3,37.547199,126.87448899999998
No.1157,No.1157_No.1170,Origin,1,37.550659,126.84976999999999
No.1170,No.1157_No.1170,Destination,1,37.549178999999995,126.868797
No.227,No.227_No.1170,Origin,3,37.544666,126.88835900000001
No.1170,No.227_No.1170,Destination,3,37.549178999999995,126.868797
No.1120,No.1120_No.1175,Origin,6,37.565189000000004,126.853996
No.1175,No.1120_No.1175,Destination,6,37.554379,126.85753600000001
No.1181,No.1181_No.1184,Origin,3,37.551044,126.818497
No.1184,No.1181_No.1184,Destination,3,37.55645,126.815979
No.1150,No.1150_No.1184,Origin,3,37.56155,126.810478
No.1184,No.1150_No.1184,Destination,3,37.55645,126.815979
No.1150,No.1150_No.1186,Origin,3,37.56155,126.810478
No.1186,No.1150_No.1186,Destination,3,37.554728999999995,126.816093
No.1109,No.1109_No.1186,Origin,1,37.563347,126.81048600000001
No.1186,No.1109_No.1186,Destination,1,37.554728999999995,126.816093
No.1207,No.1207_No.1204,Origin,4,37.499756,127.15250400000001
No.1204,No.1207_No.1204,Destination,4,37.493342999999996,127.14473000000001
No.2405,No.2405_No.2312,Origin,4,37.518710999999996,127.05085
No.2312,No.2405_No.2312,Destination,4,37.520579999999995,127.05632800000001
No.1207,No.1207_No.1229,Origin,1,37.499756,127.15250400000001
No.1229,No.1207_No.1229,Destination,1,37.490688,127.143127
No.1300,No.1300_No.1229,Origin,5,37.506939,127.13922099999999
No.1229,No.1300_No.1229,Destination,5,37.490688,127.143127
No.1283,No.1283_No.1230,Origin,2,37.505455,127.131752
No.1230,No.1283_No.1230,Destination,2,37.495670000000004,127.130592
No.1201,No.1201_No.1230,Origin,2,37.493179,127.118546
No.1230,No.1201_No.1230,Destination,2,37.495670000000004,127.130592
No.2347,No.2347_No.2311,Origin,4,37.518639,127.0354
No.2311,No.2347_No.2311,Destination,4,37.517773,127.043022
No.2408,No.2408_No.1240,Origin,3,37.477340999999996,127.113274
No.1240,No.2408_No.1240,Destination,3,37.480576,127.118568
No.1201,No.1201_No.1240,Origin,1,37.493179,127.118546
No.1240,No.1201_No.1240,Destination,1,37.480576,127.118568
No.1201,No.1201_No.1241,Origin,2,37.493179,127.118546
No.1241,No.1201_No.1241,Destination,2,37.481239,127.11979699999999
No.2375,No.2375_No.1241,Origin,4,37.48735,127.100998
No.1241,No.2375_No.1241,Destination,4,37.481239,127.11979699999999
No.1212,No.1212_No.1242,Origin,3,37.499413,127.11286899999999
No.1242,No.1212_No.1242,Destination,3,37.48209,127.119743
No.2383,No.2383_No.1242,Origin,3,37.466328000000004,127.09488700000001
No.1242,No.2383_No.1242,Destination,3,37.48209,127.119743
No.1218,No.1218_No.1243,Origin,4,37.508967999999996,127.12583899999998
No.1243,No.1218_No.1243,Destination,4,37.484531,127.12016299999999
No.2383,No.2383_No.1243,Origin,1,37.466328000000004,127.09488700000001
No.1243,No.2383_No.1243,Destination,1,37.484531,127.12016299999999
No.2601,No.2601_No.1243,Origin,3,37.506747999999995,127.098831
No.1243,No.2601_No.1243,Destination,3,37.484531,127.12016299999999
No.2268,No.2268_No.2302,Origin,4,37.502319,127.02226999999999
No.2302,No.2268_No.2302,Destination,4,37.505581,127.024277
No.2610,No.2610_No.1245,Origin,3,37.510441,127.106377
No.1245,No.2610_No.1245,Destination,3,37.479465000000005,127.125328
No.2601,No.2601_No.1245,Origin,1,37.506747999999995,127.098831
No.1245,No.2601_No.1245,Destination,1,37.479465000000005,127.125328
No.2231,No.2231_No.2292,Origin,6,37.496914000000004,127.02496299999999
No.2292,No.2231_No.2292,Destination,6,37.488243,127.02701599999999
No.1267,No.1267_No.1259,Origin,5,37.51424,127.12307
No.1259,No.1267_No.1259,Destination,5,37.508984000000005,127.126595
No.1248,No.1248_No.1259,Origin,1,37.513962,127.121674
No.1259,No.1248_No.1259,Destination,1,37.508984000000005,127.126595
No.2104,No.2104_No.2281,Origin,2,37.476089,126.98133100000001
No.2281,No.2104_No.2281,Destination,2,37.475978999999995,126.986282
No.1248,No.1248_No.1285,Origin,6,37.513962,127.121674
No.1285,No.1248_No.1285,Destination,6,37.477470000000004,127.14459199999999
No.1248,No.1248_No.1287,Origin,1,37.513962,127.121674
No.1287,No.1248_No.1287,Destination,1,37.477531,127.14151799999999
No.1211,No.1211_No.1287,Origin,2,37.512104,127.10778
No.1287,No.1211_No.1287,Destination,2,37.477531,127.14151799999999
No.2621,No.2621_No.1290,Origin,4,37.516659000000004,127.116257
No.1290,No.2621_No.1290,Destination,4,37.474659,127.13771799999999
No.1235,No.1235_No.1295,Origin,7,37.508339,127.08814199999999
No.1295,No.1235_No.1295,Destination,7,37.513962,127.10030400000001
No.1226,No.1226_No.1295,Origin,1,37.520077,127.112366
No.1295,No.1226_No.1295,Destination,1,37.513962,127.10030400000001
No.1018,No.1018_No.1299,Origin,6,37.524681,127.135406
No.1299,No.1018_No.1299,Destination,6,37.519878000000006,127.136711
No.1358,No.1358_No.1315,Origin,4,37.60479,127.010582
No.1315,No.1358_No.1315,Destination,4,37.607760999999996,127.003281
No.3535,No.3535_No.3537,Origin,4,37.559158000000004,127.08751699999999
No.3537,No.3535_No.3537,Destination,4,37.548489000000004,127.09375800000001
No.552,No.552_No.3537,Origin,2,37.536578999999996,127.092972
No.3537,No.552_No.3537,Destination,2,37.548489000000004,127.09375800000001
No.2102,No.2102_No.2139,Origin,4,37.48423,126.92639199999999
No.2139,No.2102_No.2139,Destination,4,37.471165,126.93701899999999
No.701,No.701_No.1139,Origin,1,37.532803,126.86393000000001
No.1139,No.701_No.1139,Destination,1,37.537890999999995,126.863396
No.764,No.764_No.1139,Origin,2,37.531029,126.87589299999999
No.1139,No.764_No.1139,Destination,2,37.537890999999995,126.863396
No.1120,No.1120_No.1132,Origin,1,37.565189000000004,126.853996
