Origin,Destination,movement
102,104,5
1833,1814,3
1119,742,3
1173,742,1
1735,1728,4
1719,1728,2
712,745,3
720,745,1
764,747,4
1705,1706,4
1450,1693,4
1655,1693,2
1689,1686,4
1418,1679,4
1441,1679,2
846,811,8
1834,1839,6
1804,1839,2
805,816,5
822,816,1
846,831,1
839,831,5
822,841,2
834,841,4
1656,1665,4
949,906,4
1617,1664,4
1617,1650,8
1407,1643,4
1413,1642,2
967,926,3
1655,1619,2
1738,1619,2
1716,1674,3
1738,1674,2
1702,1674,1
764,723,6
1856,1854,3
2156,1854,1
704,707,4
2220,2038,4
536,559,3
519,559,1
509,561,4
2054,2013,5
2050,2013,3
2007,2013,4
507,567,2
509,567,1
585,567,3
3511,569,4
3509,571,5
560,571,3
2177,2012,4
3517,575,4
1908,1996,5
1994,1996,3
373,580,2
1228,1229,4
1207,1229,2
3505,589,3
3520,591,2
622,608,4
1973,1953,4
1941,1953,4
636,637,4
1960,1946,4
1912,1924,3
2156,1924,1
635,661,4
650,663,4
1960,1910,2
264,1904,4
1545,1542,4
515,546,3
934,971,4
1737,1536,3
1543,1536,3
1519,1536,2
1157,1129,2
1157,1131,2
1173,1131,1
1203,1290,4
1173,1135,4
701,1136,2
754,1136,2
754,1137,1
719,1137,3
1203,1287,1
1207,1287,2
1201,1286,4
1207,1285,2
1201,1285,2
1277,1285,2
1192,1152,3
1162,1152,1
1146,1128,4
2375,1266,4
1212,1247,4
2344,1247,2
2344,1246,3
2383,1246,4
1260,1246,1
1300,1246,4
1300,1244,2
2619,1242,2
1300,1242,2
2601,1242,2
2601,1241,4
2610,1241,2
1173,1183,2
1166,1183,2
1293,1240,3
2610,1240,1
2610,1239,1
1211,1239,4
1248,1239,3
1177,1199,4
1187,1199,1
2613,1232,4
1012,1264,3
1018,1291,4
1194,1126,2
1194,1125,1
1166,1125,2
1187,1125,1
1545,1529,1
1519,1529,4
1603,1529,1
1339,1527,4
1410,1459,4
1442,1449,3
1412,1449,3
1044,1026,5
1410,1426,1
1444,1426,5
1447,1425,4
1453,1406,3
1441,1406,1
650,1403,2
1412,1403,2
1447,1403,2
1034,1036,4
1021,1037,4
1326,1377,3
1325,1377,1
1322,1376,2
1322,1366,2
1373,1366,2
1034,1052,3
1021,1052,1
1021,1053,2
1044,1053,1
1044,1056,3
1017,1056,1
1358,1344,4
1328,1323,4
1370,1315,4
1018,1299,1
1050,1299,5
1155,1117,4
1196,1124,4
1002,1001,4
1012,1001,2
2058,2057,3
2007,2057,1
1914,1979,4
586,537,3
583,537,1
2319,2355,3
2317,2355,4
1249,2355,1
2405,2354,2
2357,2349,4
2328,2348,4
2405,2348,4
2403,2343,4
239,238,4
264,240,4
292,242,4
235,242,2
2360,2335,4
2320,2334,5
2381,2334,1
2359,2358,4
2321,2326,4
2405,2312,3
2309,2312,1
2356,2311,3
2309,2311,1
2244,2293,4
2026,2061,4
283,276,4
241,278,4
2283,2271,3
283,284,1
239,284,2
230,284,1
2244,2243,4
2294,2243,2
241,291,2
230,291,3
2309,2315,1
1224,2315,3
2364,2363,3
2305,2363,3
257,214,3
207,214,5
2294,2368,4
3530,3531,6
102,107,1
183,107,1
3530,3527,3
540,3524,2
3518,3524,1
573,3524,3
3542,3521,4
116,114,3
139,114,2
150,114,1
1165,2701,6
134,128,4
150,128,3
124,128,1
1267,2616,4
124,130,4
1019,2609,4
136,137,4
1226,2608,5
2621,2608,1
1248,2607,6
3100,159,2
1267,2606,2
1248,2606,1
2621,2606,1
2381,2410,3
2268,2410,1
417,194,4
2359,2392,2
2393,2392,4
2403,2387,2
2342,2387,2
2342,2384,4
207,209,4
2337,2370,7
1249,2370,1
171,300,2
2255,2242,8
2104,2281,2
2621,1227,4
329,454,3
327,454,2
2143,2178,3
2139,2178,3
2103,2136,3
2103,2175,1
2067,2175,3
123,447,4
430,381,3
382,381,1
3100,436,1
140,436,3
2067,2173,3
251,2173,1
2119,2172,5
2106,2172,3
407,408,3
411,408,4
406,408,1
2106,2141,1
1836,2141,3
458,308,8
2156,2164,1
251,2164,2
1842,2144,6
428,398,3
3505,508,1
526,508,3
251,2135,1
235,2135,1
286,2135,1
2032,2068,3
2033,2068,1
331,322,3
310,322,2
327,322,1
2027,2064,4
2268,2211,2
2217,2211,2
345,338,5
359,338,2
533,524,4
2027,2184,1
2002,2184,3
286,2180,2
2063,2180,2
2270,2203,5
2286,2203,3
289,1974,3
2033,2111,2
2104,2111,1
760,1967,3
1937,1964,3
2621,1230,1
1221,1230,2
1221,2377,2
2618,2377,1
2352,2407,3
2036,2062,3
1914,1976,1
289,1976,1
1804,1976,1
2618,2603,3
2007,2137,3
519,3513,3
2036,2071,3
626,3508,3
2618,1245,3
2289,2129,3
2604,1278,3
2063,2009,3
1833,2113,3
1165,2702,3
1114,2702,3
2220,2037,2
2036,2037,1
2265,2037,3
1235,1296,3
2255,2241,3
231,1958,3
1688,1666,2
1702,1666,1
2214,2239,3
2277,2212,6
2262,2269,3
1702,1659,3
1708,1714,2
1726,1714,1
2214,2279,3
1628,1625,4
1719,1625,1
1726,1625,1
1640,1620,3
1640,1606,3
1348,1546,3
2352,2302,3
1824,1805,3
2002,2179,3
1249,2372,3
1822,1820,3
1539,1520,3
1822,1821,3
1447,1457,2
1445,1457,1
1444,1427,1
1445,1427,2
1824,1840,6
1445,1411,2
1430,1411,1
1819,1858,3
2007,2174,2
222,2174,1
2258,2350,3
231,1916,3
2301,2362,3
1603,1359,2
1327,1359,4
1332,1349,3
1305,1337,3
1249,2325,1
1224,2325,2
2289,2165,3
1327,1334,2
647,1334,1
950,932,2
933,932,1
207,270,3
227,1115,3
207,271,3
1103,1102,3
293,277,3
1846,282,3
391,324,3
1004,1042,3
382,371,3
964,922,3
154,432,3
123,446,3
519,520,3
626,563,1
526,563,2
3517,572,1
3535,572,5
1017,1016,3
638,600,3
1146,714,1
1145,714,2
704,722,1
719,722,2
720,736,2
750,736,1
227,749,3
719,752,1
1145,752,2
1004,1003,3
2611,1003,3
290,267,3
245,266,3
380,336,2
327,336,1
1114,1163,1
1162,1163,2
1145,1132,1
152,1132,2
222,215,3
184,108,3
1048,1204,3
293,200,2
260,200,4
3102,196,3
165,164,3
1200,1178,3
118,112,3
1348,1501,2
900,917,2
2509,2502,2
1734,1669,2
1162,1191,2
2288,2207,2
1162,1174,1
1187,1174,1
140,162,4
703,716,4
1734,1741,4
1729,1662,4
930,913,2
958,913,2
1539,1709,3
1538,1709,1
1187,1193,4
1937,1952,4
2618,1217,1
1235,1217,3
1729,1673,2
1538,1673,1
1537,1673,1
1235,2614,2
1220,2614,2
573,578,2
967,925,2
152,1169,2
1220,2322,3
1222,2322,1
2365,2380,4
1022,1283,2
2258,2389,4
1022,1271,4
171,173,1
395,173,1
1047,1060,2
964,961,2
1537,1634,2
1413,1634,2
406,405,2
945,924,4
2604,1259,2
1022,1259,2
1222,1256,2
1047,1031,4
344,455,2
504,501,3
593,501,3
3520,501,1
515,501,1
1407,1602,2
1428,1602,2
2288,2605,1
1222,2605,2
1022,2605,1
3511,512,2
3525,512,2
3525,3538,3
199,419,5
1017,1039,1
1845,1859,4
1846,1859,1
152,700,5
222,2108,2
2509,2108,2
1846,2108,1
2307,2316,4
552,2316,1
1348,1715,2
1319,1715,3
359,397,2
327,397,1
659,614,5
1017,1027,5
1017,1032,1
2611,1032,1
544,1032,3
544,1009,4
552,1009,1
1187,1182,1
1184,1182,4
1375,1512,5
552,1243,4
3542,1243,1
1999,1992,4
232,262,2
123,3105,2
290,268,1
2214,2167,2
147,146,2
304,368,2
2214,2171,1
844,2171,2
152,1170,2
962,905,2
3542,574,3
643,574,5
844,221,2
2301,2329,2
245,233,2
643,539,1
602,539,1
825,2040,2
232,236,2
260,244,2
280,244,2
1941,1965,2
760,1965,1
800,2024,2
1105,1101,2
2255,2340,1
2256,2340,2
800,2020,2
232,243,3
602,3500,2
1430,1455,2
2256,2324,2
800,2003,2
627,1446,2
2256,2501,1
2251,2501,1
602,1269,2
2249,2248,2
2217,2272,2
2251,2276,2
2249,2276,1
305,321,3
627,1061,2
2217,2227,1
2262,2227,2
2262,2221,2
825,2221,1
342,341,2
1105,1106,2
627,1059,1
625,1059,2
456,363,2
1826,2109,3
373,372,2
305,385,2
1441,1041,2
604,1297,2
604,2615,2
538,2615,1
124,129,3
825,2159,2
800,2148,2
1430,1033,2
280,1956,2
1826,2130,2
830,2130,1
750,1127,2
431,378,2
1438,1420,3
538,594,3
1428,1717,3
1413,1731,1
1325,1731,2
750,743,2
1375,1727,3
947,951,3
1375,1723,2
1438,1651,2
1454,1651,2
1454,1653,2
1454,1722,2
1328,1722,1
809,2395,2
647,1601,4
902,959,2
1150,1151,5
406,1158,2
413,1158,2
1353,1535,2
647,1690,1
607,1690,1
750,763,1
1969,763,1
809,2508,2
1441,1680,2
181,765,2
538,1231,1
583,1231,1
1353,1540,2
101,105,1
1320,1528,2
417,948,2
1328,1732,1
607,1732,1
1999,1852,2
617,1258,2
1999,1931,2
621,654,2
617,658,2
1969,1901,2
1320,1513,4
809,2511,2
607,1639,2
1971,1850,2
1971,1848,2
429,2504,2
429,2361,2
119,111,2
1150,739,1
1109,739,2
1108,732,2
375,2396,3
1321,1525,2
1969,1806,1
101,1806,1
181,1141,2
1430,1458,1
834,2264,1
915,131,4
1321,1511,1
583,3522,1
1321,1354,3
1105,1149,1
401,1149,1
838,2263,2
834,2263,1
583,2206,3
181,285,1
301,302,1
182,1951,3
583,2373,2
642,2373,1
642,3504,1
182,702,2
151,1998,1
617,543,3
607,1736,1
151,263,1
151,1139,1
607,1721,1
351,450,3
640,633,1
834,2510,1
1430,1421,3
185,281,1
185,206,5
151,265,2
617,3537,2
834,2285,2
348,158,2
413,1121,2
642,2401,2
617,1030,2
818,2246,2
638,628,2
617,1013,1
622,1013,1
622,1020,2
124,127,2
621,2620,1
624,2620,1
184,748,1
186,748,1
154,438,1
421,438,1
638,2617,2
830,836,2
1321,1547,1
609,1547,1
609,1369,2
900,939,2
818,2210,2
635,1637,1
656,1637,1
638,3502,2
818,2247,3
123,117,2
3103,117,1
414,409,1
972,409,2
640,639,1
519,521,1
657,3507,5
624,3507,5
630,3507,4
830,2801,2
185,2801,3
119,2801,3
147,2801,2
120,2801,1
823,2230,3
144,2230,3
145,2230,1
375,2202,1
820,2202,6
656,1657,3
609,1657,4
630,1280,2
550,1280,5
609,1623,5
1355,1623,2
519,1295,1
550,1295,4
518,1295,2
195,110,3
155,110,4
601,1684,6
659,1684,1
615,623,7
518,1010,7
120,1808,2
148,1808,5
118,218,1
122,218,6
530,2331,3
347,2331,4
143,223,3
145,223,4
518,548,1
612,548,6
612,588,4
568,588,3
1355,1534,7
183,115,5
431,3532,5
422,1175,2
420,1175,3
659,1215,3
605,1215,2
437,201,5
437,1986,2
126,1986,3
347,564,2
361,564,3
605,1434,2
1351,1434,3
186,724,5
186,725,5
456,1268,3
1363,1268,2
126,2112,3
807,2112,2
186,2115,4
153,2115,1
807,2160,4
399,2160,1
420,1961,5
1338,1401,5
399,2282,4
826,2282,1
826,2292,5
826,2333,3
384,2333,2
140,220,4
142,220,2
3104,220,4
1355,1678,2
1305,1678,1
1338,1678,2
153,213,2
183,213,1
421,213,2
1362,1670,3
1363,1670,2
1363,1548,3
1361,1548,2
155,203,4
3102,203,1
1352,1372,3
364,1372,2
364,1014,2
344,1014,3
1361,1682,4
1361,1503,2
1370,1503,1
3104,2105,2
160,2105,1
343,513,4
160,225,4
180,225,4
3102,219,1
3107,219,2
420,211,4
420,204,4
343,1015,3
342,1015,1
342,523,2
337,523,1
1370,1635,3
