Station,Path ID,Origin-Destination,movement,Latitude,Longitude
No.102,No.102_No.104,Origin,5,37.556,126.910454
No.104,No.102_No.104,Destination,5,37.550629,126.91498600000001
No.1833,No.1833_No.1814,Origin,3,37.466541,126.89028200000001
No.1814,No.1833_No.1814,Destination,3,37.47422,126.894127
No.1119,No.1119_No.742,Origin,3,37.554253,126.86756100000001
No.742,No.1119_No.742,Destination,3,37.550732,126.86457800000001
No.1173,No.1173_No.742,Origin,1,37.556259000000004,126.85331699999999
No.742,No.1173_No.742,Destination,1,37.550732,126.86457800000001
No.1735,No.1735_No.1728,Origin,4,37.679119,127.044983
No.1728,No.1735_No.1728,Destination,4,37.677665999999995,127.04624199999999
No.1719,No.1719_No.1728,Origin,2,37.673283000000005,127.04399099999999
No.1728,No.1719_No.1728,Destination,2,37.677665999999995,127.04624199999999
No.712,No.712_No.745,Origin,3,37.516998,126.83831799999999
No.745,No.712_No.745,Destination,3,37.522282000000004,126.839699
No.720,No.720_No.745,Origin,1,37.516197,126.8349
No.745,No.720_No.745,Destination,1,37.522282000000004,126.839699
No.764,No.764_No.747,Origin,4,37.531029,126.87589299999999
No.747,No.764_No.747,Destination,4,37.53458,126.875648
No.1705,No.1705_No.1706,Origin,4,37.669224,127.046516
No.1706,No.1705_No.1706,Destination,4,37.665665000000004,127.042671
No.1450,No.1450_No.1693,Origin,4,37.619625,127.08501399999999
No.1655,No.1655_No.1693,Origin,2,37.631111,127.07016000000002
No.1689,No.1689_No.1686,Origin,4,37.665248999999996,127.057892
No.1686,No.1689_No.1686,Destination,4,37.66114,127.058052
No.1418,No.1418_No.1679,Origin,4,37.617989,127.110542
No.1679,No.1418_No.1679,Destination,4,37.64283,127.10666699999999
No.1441,No.1441_No.1679,Origin,2,37.616710999999995,127.11073300000001
No.1679,No.1441_No.1679,Destination,2,37.64283,127.10666699999999
No.846,No.846_No.811,Origin,8,37.546638,126.98104099999999
No.811,No.846_No.811,Destination,8,37.53508,126.985382
No.1834,No.1834_No.1839,Origin,6,37.479084,126.879044
No.1839,No.1834_No.1839,Destination,6,37.477058,126.885185
No.1804,No.1804_No.1839,Origin,2,37.46653,126.888718
No.1839,No.1804_No.1839,Destination,2,37.477058,126.885185
No.805,No.805_No.816,Origin,5,37.536758,126.970001
No.816,No.805_No.816,Destination,5,37.530148,126.968483
No.822,No.822_No.816,Origin,1,37.522040999999994,126.965523
No.816,No.822_No.816,Destination,1,37.530148,126.968483
