,이름,위도,경도,주소
0,영등포소방서,37.5206414,126.9139239,영등포구
1,동대문소방서,37.5837941,127.0506879,동대문구
2,용산소방서,37.531106099999995,126.9809422,용산구
3,광진소방서,37.5481447,127.06173290000001,광진구
4,종로소방서,37.5991001,126.986175,종로구
5,은평소방서,37.6176107,126.9227127,은평구
6,성북소방서,37.6069889,127.0232435,성북구
7,강남소방서,37.4959815,127.0664088,강남구
8,서초소방서,37.476953200000004,127.0378001,서초구
9,강서소방서,37.56576210000001,126.82265579999999,강서구
10,마포소방서,37.56229329999999,126.90877920000001,마포구
11,강동소방서,37.549233,127.14644009999998,강동구
12,노원소방서,37.6552597,127.0771199,노원구
13,구로소방서,37.4758251,126.87077479999999,구로구
14,송파소방서,37.5048526,127.11447079999999,송파구
15,관악소방서,37.4654,126.94380670000001,관악구
16,양천소방서,37.5270363,126.8561354,양천구
17,중랑소방서,37.59537529999999,127.093966,중랑구
18,동작소방서,37.4965073,126.94430790000001,동작구
19,서대문소방서,37.5828688,126.9356676,서대문구
20,도봉소방서,37.66585870000001,127.03179540000002,도봉구
21,강북소방서,37.6469903,127.0147136,강북구
22,중부소방서,37.557944899999995,126.9941953,중구
23,성동소방서,37.553872,127.038453,성동구
24,양천119안전센터,37.527161,126.86945190000002,양천구
25,신내119안전센터,37.6102463,127.0964731,중랑구
26,서초119안전센터,37.4877727,127.01714469999999,서초구
27,이촌119안전센터,37.5278414,126.9583175,용산구
28,후암119안전센터,37.544895600000004,126.9812418,용산구
29,신교119안전센터,37.58039779999999,126.96457659999999,종로구
30,종로119안전센터,37.5794792,126.9910088,종로구
31,세종로119안전센터,37.5819579,126.97674740000002,종로구
32,연건119안전센터,37.5805686,126.99817820000001,종로구
33,무학119안전센터,37.562532,127.0161236,중구
34,을지로119안전센터,37.5654179,127.0000943,중구
35,충무로119안전센터,37.5626602,126.9846082,중구
36,신당119안전센터,37.5535742,127.0004385,중구
37,회현119안전센터,37.5604901,126.9735034,중구
38,이태원119안전센터,37.5357223,127.00196609999999,용산구
39,한강로119안전센터,37.538393299999996,126.97410559999999,용산구
40,행당119안전센터,37.5626326,127.0394365,성동구
41,고덕119안전센터,37.5615464,127.16119309999999,강동구
42,휘경119안전센터,37.593947799999995,127.0653692,동대문구
43,전농119안전센터,37.575877,127.05567090000001,동대문구
44,고일119안전센터,37.4941679,126.86194109999998,구로구
45,수궁119안전센터,37.4910188,126.83180790000002,구로구
46,청량리119안전센터,37.5915968,127.05095039999999,동대문구
47,종암119안전센터,37.5960187,127.0356398,성북구
48,신트리119안전센터,37.5134744,126.85157720000001,양천구
49,관악119안전센터,37.4598087,126.95542579999999,관악구
50,독산119안전센터,37.466364500000005,126.89756650000001,금천구
51,돈암119안전센터,37.5908712,127.0008697,성북구
52,마천119안전센터,37.489171899999995,127.1320185,송파구
53,상도119안전센터,37.4999956,126.93990320000002,동작구
54,동작119안전센터,37.500251899999995,126.9192213,동작구
55,공덕119안전센터,37.54989570000001,126.9555567,마포구
56,서교119안전센터,37.5546142,126.9104746,마포구
57,염리119안전센터,37.545394200000004,126.9460147,마포구
58,개화119안전센터,37.570435700000004,126.7947963,강서구
59,양재119안전센터,37.456873,127.0623586,서초구
60,방화119안전센터,37.5760761,126.8320142,강서구
61,장위119안전센터,37.61220720000001,127.0545794,성북구
62,길음119안전센터,37.61677529999999,127.0025314,성북구
63,당산119안전센터,37.5375407,126.89450990000002,영등포구
64,영등포119안전센터,37.517844399999994,126.8978281,영등포구
65,종합운동장119안전센터,37.513567,127.0838102,송파구
66,역삼119안전센터,37.495112400000004,127.04047040000002,강남구
67,상암119안전센터,37.571545799999996,126.87787659999998,마포구
68,화곡119안전센터,37.5376924,126.85004450000001,강서구
69,반포119안전센터,37.502497999999996,126.9959341,서초구
70,방학119안전센터,37.6603019,127.0434774,도봉구
71,신정119안전센터,37.520698200000005,126.8510351,양천구
72,잠원119안전센터,37.50765,127.0137281,서초구
73,쌍문119안전센터,37.657652399999996,127.0244435,도봉구
74,용두119안전센터,37.580591399999996,127.0342271,동대문구
75,잠실119안전센터,37.5141125,127.0995051,송파구
76,진관119안전센터,37.6328379,126.93408500000001,은평구
77,신도림119안전센터,37.506623299999994,126.87988659999999,구로구
78,고척119안전센터,37.5041898,126.8499207,구로구
79,홍은119안전센터,37.593183399999994,126.94093329999998,서대문구
80,북가좌119안전센터,37.57751629999999,126.9145643,서대문구
81,연희119안전센터,37.5696345,126.9343459,서대문구
82,거여119안전센터,37.4918331,127.14890759999999,송파구
83,개포119안전센터,37.480429799999996,127.06103329999999,강남구
84,신림119안전센터,37.482308200000006,126.9263575,관악구
85,봉천119안전센터,37.4851768,126.94732749999999,관악구
86,망우119안전센터,37.5961145,127.10092350000001,중랑구
87,중화119안전센터,37.6041951,127.082669,중랑구
88,수서119안전센터,37.4793209,127.09786129999999,강남구
89,미아119안전센터,37.62198239999999,127.0290876,강북구
90,신월119안전센터,37.5280348,126.83105630000001,양천구
91,면목119안전센터,37.5813361,127.08664579999999,중랑구
92,백운119안전센터,37.4920607,126.9639926,동작구
93,난곡119안전센터,37.4720612,126.9129356,관악구
94,창동119안전센터,37.641685700000004,127.0434091,도봉구
95,성내119안전센터,37.528960600000005,127.1393553,강동구
96,하계119안전센터,37.6432704,127.0742534,노원구
97,삼각산119안전센터,37.6235169,127.01019779999999,강북구
98,목동119안전센터,37.5409898,126.87640060000001,양천구
99,수색119안전센터,37.5898743,126.8990108,은평구
100,방배119안전센터,37.4741778,126.99590970000001,서초구
101,성수119안전센터,37.5360825,127.05412240000001,성동구
102,중곡119안전센터,37.560379499999996,127.0886852,광진구
103,공릉119안전센터,37.6304747,127.0884816,노원구
104,행당119안전센터,37.5521191,127.0549862,성동구
105,상계119안전센터,37.6674685,127.07847509999999,노원구
106,성산119안전센터,37.5659134,126.90392479999998,마포구
107,신수119안전센터,37.547943200000006,126.931798,마포구
108,우이119안전센터,37.6571816,127.00238780000001,강북구
109,우면119안전센터,37.469682299999995,127.0212006,서초구
110,방이119안전센터,37.5240053,127.1210392,송파구
111,가락119안전센터,37.4923649,127.1122009,송파구
112,천호119안전센터,37.543185799999996,127.12652220000001,강동구
113,번동119안전센터,37.631155799999995,127.03339380000001,강북구
114,월계119안전센터,37.6295908,127.05625320000001,노원구
115,도봉119안전센터,37.6817245,127.0300077,도봉구
116,역촌119안전센터,37.611819200000006,126.9115437,은평구
117,공단119안전센터,37.478124900000005,126.88749820000001,구로구
118,시흥119안전센터,37.44967929999999,126.91069479999999,금천구
119,서빙고119안전센터,37.5181414,126.98014609999998,용산구
120,장안119안전센터,37.5711119,127.06741470000001,동대문구
121,노량진119안전센터,37.5028266,126.95890209999999,동작구
122,숭인119안전센터,37.5759887,127.01319129999999,종로구
123,신영119안전센터,37.60868,126.96789009999998,종로구
124,구의119안전센터,37.5407621,127.09386310000001,광진구
125,발산119안전센터,37.5460841,126.82969840000001,강서구
126,등촌119안전센터,37.551987700000005,126.8595352,강서구
127,녹번119안전센터,37.5968284,126.9305243,은평구
128,대림119안전센터,37.4970585,126.90658570000001,영등포구
129,신길119안전센터,37.5095773,126.9184531,영등포구
130,여의도119안전센터,37.5284362,126.9273741,영등포구
131,암사119안전센터,37.557791200000004,127.1295,강동구
132,길동119안전센터,37.53970579999999,127.14700659999998,강동구
133,길동119안전센터,37.5508012,127.1698689,강동구
134,미근119안전센터,37.5678735,126.9587899,서대문구
135,능동119안전센터,37.5490452,127.07675479999999,광진구
136,금호119안전센터,37.545840999999996,127.0245305,성동구
137,삼성119안전센터,37.5107654,127.056252,강남구
138,영동119안전센터,37.5201614,127.02756399999998,강남구
139,수락119안전센터,37.6753755,127.0668456,노원구
140,구로119안전센터,37.49698789999999,126.88731990000001,구로구
