,이름,위도,경도
0,영등포소방서,37.5206414,126.9139239
1,동대문소방서,37.5837941,127.0506879
2,용산소방서,37.5311061,126.9809422
3,광진소방서,37.5481447,127.0617329
4,종로소방서,37.5991001,126.986175
5,은평소방서,37.6176107,126.9227127
6,성북소방서,37.6069889,127.0232435
7,강남소방서,37.4959815,127.0664088
8,서초소방서,37.4769532,127.0378001
9,강서소방서,37.5657621,126.8226558
10,마포소방서,37.5622933,126.9087792
11,강동소방서,37.549233,127.1464401
12,노원소방서,37.6552597,127.0771199
13,구로소방서,37.4758251,126.8707748
14,송파소방서,37.5048526,127.1144708
15,관악소방서,37.4654,126.9438067
16,양천소방서,37.5270363,126.8561354
17,중랑소방서,37.5953753,127.093966
18,동작소방서,37.4965073,126.9443079
19,서대문소방서,37.5828688,126.9356676
20,도봉소방서,37.6658587,127.0317954
21,강북소방서,37.6469903,127.0147136
22,중부소방서,37.5579449,126.9941953
23,성동소방서,37.553872,127.038453
24,양천119안전센터,37.527161,126.8694519
25,신내119안전센터,37.6102463,127.0964731
26,서초119안전센터,37.4877727,127.0171447
27,이촌119안전센터,37.5278414,126.9583175
28,후암119안전센터,37.5448956,126.9812418
29,신교119안전센터,37.5803978,126.9645766
30,종로119안전센터,37.5794792,126.9910088
31,세종로119안전센터,37.5819579,126.9767474
32,연건119안전센터,37.5805686,126.9981782
33,무학119안전센터,37.562532,127.0161236
34,을지로119안전센터,37.5654179,127.0000943
35,충무로119안전센터,37.5626602,126.9846082
36,신당119안전센터,37.5535742,127.0004385
37,회현119안전센터,37.5604901,126.9735034
38,이태원119안전센터,37.5357223,127.0019661
39,한강로119안전센터,37.5383933,126.9741056
40,행당119안전센터,37.5626326,127.0394365
41,고덕119안전센터,37.5615464,127.1611931
42,휘경119안전센터,37.5939478,127.0653692
43,전농119안전센터,37.575877,127.0556709
44,고일119안전센터,37.4941679,126.8619411
45,수궁119안전센터,37.4910188,126.8318079
46,청량리119안전센터,37.5915968,127.0509504
47,종암119안전센터,37.5960187,127.0356398
48,신트리119안전센터,37.5134744,126.8515772
49,관악119안전센터,37.4598087,126.9554258
50,독산119안전센터,37.4663645,126.8975665
51,돈암119안전센터,37.5908712,127.0008697
52,마천119안전센터,37.4891719,127.1320185
53,상도119안전센터,37.4999956,126.9399032
54,동작119안전센터,37.5002519,126.9192213
55,공덕119안전센터,37.5498957,126.9555567
56,서교119안전센터,37.5546142,126.9104746
57,염리119안전센터,37.5453942,126.9460147
58,개화119안전센터,37.5704357,126.7947963
59,양재119안전센터,37.456873,127.0623586
60,방화119안전센터,37.5760761,126.8320142
61,장위119안전센터,37.6122072,127.0545794
62,길음119안전센터,37.6167753,127.0025314
63,당산119안전센터,37.5375407,126.8945099
64,영등포119안전센터,37.5178444,126.8978281
65,종합운동장119안전센터,37.513567,127.0838102
66,역삼119안전센터,37.4951124,127.0404704
67,상암119안전센터,37.5715458,126.8778766
